nazwa;wojewodztwo;powiat;gmina;miejscowosc;ulica;budynek;latitude;longitude
Ochotnicza Straż Pożarna Rybnik - Ochojec;ŚLĄSKIE;Rybnik;Rybnik;Rybnik;Rybnicka;23;50.16631895;18.540034300000002
Ochotnicza Straż Pożarna w Dzimierzu;ŚLĄSKIE;rybnicki;Lyski;Dzimierz;Sportowa;1a;50.105859;18.3507277
Nadgoplańskie Wodne Ochotnicze Pogotowie Ratunkowe;KUJAWSKO-POMORSKIE;inowrocławski;;Kruszwica;Popiela;2;52.6737043;18.3264012
Komenda Powiatowa Państwowej Straży Pożarnej w Lipnie;KUJAWSKO-POMORSKIE;lipnowski;Lipno;Lipno;Sportowa;16A;52.8513963;19.1710428
Komenda Powiatowa Państwowej Straży Pożarnej;KUJAWSKO-POMORSKIE;świecki;Świecie;Świecie;;;53.4072518;18.4455253
Ochotnicza Straż Pożarna Bukowiec;KUJAWSKO-POMORSKIE;świecki;Bukowiec;Bukowiec;Dworcowa;7;53.43250105;18.240510377550244
Ochotnicza Straż Pożarna Przysiersk;KUJAWSKO-POMORSKIE;świecki;Bukowiec;Przysiersk;Świętego Floriana;4;53.4307065;18.3035413
Ochotnicza Straż Pożarna Górna Grupa;KUJAWSKO-POMORSKIE;świecki;Dragacz;Górna Grupa;Świecka;16;53.4834301;18.6656157
Ochotnicza Straż Pożarna Drzycim;KUJAWSKO-POMORSKIE;świecki;Drzycim;Drzycim;Młyńska;10;53.5131757;18.3187684
Ochotnicza Straż Pożarna Jeżewo;KUJAWSKO-POMORSKIE;świecki;Jeżewo;Jeżewo;Główna;2;53.5092592;18.4942123
Ochotnicza Straż Pożarna Lniano;KUJAWSKO-POMORSKIE;świecki;Lniano;Lniano;Długa;1;53.5280839;18.21790010170154
Ochotnicza Straż Pożarna Nowe;KUJAWSKO-POMORSKIE;świecki;Nowe;Nowe;3 Maja;5;57.5955288;24.5154803
Ochotnicza Straż Pożarna Osie;KUJAWSKO-POMORSKIE;świecki;Osie;Osie;Rynek;2:00 AM;53.5982899;18.3467702
Ochotnicza Straż Pożarna Brzeźno;KUJAWSKO-POMORSKIE;świecki;Pruszcz;Brzeźno;;18A;54.4048419;18.6310398
Ochotnicza Straż Pożarna Pruszcz;KUJAWSKO-POMORSKIE;świecki;Pruszcz;Pruszcz;Sportowa;10;53.3306972;18.2002346
Ochotnicza Straż Pożarna Wałdowo;KUJAWSKO-POMORSKIE;świecki;Pruszcz;Wałdowo;;35;53.7204259;19.9399143
Ochotnicza Straż Pożarna Przechowo;KUJAWSKO-POMORSKIE;świecki;;Świecie;Sportowa;16;53.4048558;18.4052292
Ochotnicza Straż Pożarna Gruczno;KUJAWSKO-POMORSKIE;świecki;Świecie;Gruczno;Chełmińska;4;53.34772495;18.313367642584634
Ochotnicza Straż Pożarna Ratownik;KUJAWSKO-POMORSKIE;świecki;Świecie;Świecie;Laskowicka;2;53.411860450000006;18.45488922745237
Ochotnicza Straż Pożarna Świekatowo;KUJAWSKO-POMORSKIE;świecki;Świekatowo;Świekatowo;Koronowska;7;53.4185796;18.090423
Ochotnicza Straż Pożarna Warlubie;KUJAWSKO-POMORSKIE;świecki;Warlubie;Warlubie;Bąkowska;12;53.5863684;18.624114120580032
KP PSP Inowrocław;KUJAWSKO-POMORSKIE;inowrocławski;Inowrocław;Inowrocław;Poznańska;133;52.78001765;18.26083371866158
Komenda Powiatowa Państwowej Straży Pożarnej w Brodnicy;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;Brodnica;Sienkiewicza;23;53.2586472;19.395871666353692
Ochotnicza Straż Pożarna w Żninie;KUJAWSKO-POMORSKIE;żniński;Żnin;Żnin;Spokojna;24;52.8507315;17.7228674
OSP BRZOZIE;KUJAWSKO-POMORSKIE;brodnicki;Brzozie;Brzozie;;13;53.32456;19.60085
OSP GÓRZNO;KUJAWSKO-POMORSKIE;brodnicki;;;św. Floriana;16;52.5278649;19.753923654687497
OSP GRĄŻAWY;KUJAWSKO-POMORSKIE;brodnicki;Bartniczka;Grążawy;;47a;53.25;19.57232
OSP JABŁONOWO POMORSKIE;KUJAWSKO-POMORSKIE;brodnicki;Jabłonowo Pomorskie;Jabłonowo Pomorskie;Nowy Rynek;5;53.3889286;19.159863799999997
OSP NIEŻYWIĘĆ;KUJAWSKO-POMORSKIE;brodnicki;Bobrowo;Nieżywięć;;43;53.2668223;19.1594725
OSP OSIEK;KUJAWSKO-POMORSKIE;brodnicki;Osiek;Osiek;;;50.5194515;21.4425619
OSP POKRZYDOWO;KUJAWSKO-POMORSKIE;brodnicki;Zbiczno;Pokrzydowo;;76a;53.326784599999996;19.47401744592355
OSP STRZYGI;KUJAWSKO-POMORSKIE;brodnicki;Osiek;Strzygi;;3;52.3884176;18.983213
OSP ŚWIEDZIEBNIA;KUJAWSKO-POMORSKIE;brodnicki;Świedziebnia;Świedziebnia;;124;53.15277975;19.560571785937256
OSP ZBICZNO;KUJAWSKO-POMORSKIE;brodnicki;Zbiczno;Zbiczno;;170;53.3318202;19.3753215
OSP ZGNIŁOBŁOTY;KUJAWSKO-POMORSKIE;brodnicki;Bobrowo;Zgniłobłoty;;58;53.2809588;19.2268638
Pałuckie Wodne Ochotnicze Pogotowie Ratunkowe;KUJAWSKO-POMORSKIE;żniński;Żnin;Żnin;Szkolna;12;52.72762;17.65157
Ochotnicza Straż Pożarna Kruszyn;KUJAWSKO-POMORSKIE;bydgoski;Sicienko;Kruszyn;Strażacka;5;53.1575818;17.8416481
Wielkie Rychnowo OSP KSRG;KUJAWSKO-POMORSKIE;golubsko-dobrzyński;;Wielkie Rychnowo;;68;53.1444895;18.8102019
Ochotnicza Straż Pożarna Wojnowo;KUJAWSKO-POMORSKIE;bydgoski;Sicienko;Wojnowo;;26;53.6668383;21.4895496
Ochotnicza Straż Pożarna w Raciążu;KUJAWSKO-POMORSKIE;tucholski;Tuchola;Raciąż;Kasztelańska;1a;53.661519;17.78432465
Ochotnicza Straż Pożarna w Długiem;KUJAWSKO-POMORSKIE;rypiński;Wąpielsk;Długie;;72B;49.5781302;22.0495087
Nowogród OSP KSRG;KUJAWSKO-POMORSKIE;golubsko-dobrzyński;Golub-Dobrzyń;Nowogród;;23;51.312623;22.8092401
Ochotnicza Straż Pożarna w Wąpielsku;KUJAWSKO-POMORSKIE;rypiński;Wąpielsk;Wąpielsk;;59D;53.1379462;19.278022
Wrocki OSP KSRG;KUJAWSKO-POMORSKIE;golubsko-dobrzyński;Golub-Dobrzyń;Wrocki;;25;53.21383555;19.16901840184552
Ochotnicza Straż Pożarna w Radzikach Dużych;KUJAWSKO-POMORSKIE;rypiński;Wąpielsk;Radziki Duże;;25A;53.1652432;19.2779888
Radomin OSP KSRG;KUJAWSKO-POMORSKIE;golubsko-dobrzyński;Radomin;Radomin;;34;53.4096705;20.4324953
Ochotnicza Straż Pożarna w Gostycynie;KUJAWSKO-POMORSKIE;tucholski;Gostycyn;Gostycyn;Główna;37;53.4897701;17.8146554
Ochotnicza Straż Pożarna w Legbądzie;KUJAWSKO-POMORSKIE;tucholski;Tuchola;Legbąd;Szkolna;4;53.7090553;17.9416504
Ochotnicza Straż Pożarna w Skrwilnie;KUJAWSKO-POMORSKIE;rypiński;Skrwilno;Skrwilno;Rypińska;9;53.0179;19.62061
Łubki OSP KSRG;KUJAWSKO-POMORSKIE;golubsko-dobrzyński;Radomin;Łubki;;5;51.243902;22.189226150000003
Ochotnicza Straż Pożarna w Rogowie;KUJAWSKO-POMORSKIE;rypiński;Rogowo;Rogowo;;62;52.61299;20.08965
Zbójno OSP KSRG;KUJAWSKO-POMORSKIE;golubsko-dobrzyński;Zbójno;Zbójno;;142;53.00543;19.14622
Działyń OSP KSRG;KUJAWSKO-POMORSKIE;golubsko-dobrzyński;Zbójno;Nowy Działyń;;23;53.00284;19.04446
Świętosław OSP KSRG;KUJAWSKO-POMORSKIE;golubsko-dobrzyński;Ciechocin;Świętosław;;156;52.9981218;18.979534183930195
Ochotnicza Straż Pożarna w Śliwicach;KUJAWSKO-POMORSKIE;tucholski;Śliwice;Śliwice;Dworcowa;11;53.7103149;18.1746075
Ochotnicza Straż Pożarna w Giżynku;KUJAWSKO-POMORSKIE;rypiński;Brzuze;Giżynek;;39;53.0351018;19.201421392277613
Ochotnicza Straż Pożarna w Białożewinie;KUJAWSKO-POMORSKIE;żniński;Żnin;Białożewin;;7;52.828465800000004;17.787378390795983
Ochotnicza Straż Pożarna w Gąsawie;KUJAWSKO-POMORSKIE;żniński;Gąsawa;Gąsawa;Żnińska;19;52.77154;17.75682
Komenda Powiatowa Państwowej Straży Pożarnej w Rypinie;KUJAWSKO-POMORSKIE;rypiński;Rypin;Rypin;Strażacka;4;53.06363435;19.437024486877437
Ochotnicza Straż Pożarna w Kowalkach;KUJAWSKO-POMORSKIE;rypiński;Rypin;Kowalki;;13;53.045;19.39655
Komenda Powiatowa Państwowej Straży Pożarnej;KUJAWSKO-POMORSKIE;sępoleński;Sępólno Krajeńskie;Sępólno Krajeńskie;Sienkiewicza;54;53.447829850000005;17.528035250000002
Ochotnicza Straż Pożarna w Sadłowie;KUJAWSKO-POMORSKIE;rypiński;Rypin;Sadłowo;;41;53.278358999999995;15.275242159360877
Jednostka Ratowniczo Gaśnicza PSP Golub-Dobrzyń;KUJAWSKO-POMORSKIE;golubsko-dobrzyński;Golub-Dobrzyń;Golub-Dobrzyń;Lipnowska;9;53.09806025;19.048458039864066
Ochotnicza Straż Pożarna Solec Kujawski;KUJAWSKO-POMORSKIE;bydgoski;Solec Kujawski;Solec Kujawski;29 Listopada;6;53.0800228;18.2266905
Ochotnicza Straż Pożarna Czarże;KUJAWSKO-POMORSKIE;bydgoski;Dąbrowa Chełmińska;Czarże;Chełmińska;66;53.2238982;18.279465498069243
Ochotnicza Straż Pożarna w Bysławiu;KUJAWSKO-POMORSKIE;tucholski;Lubiewo;Bysław;Strażacka;1;53.5076505;17.9966268
Ochotnicza Straż Pożarna Dąbrowa Chełmińska;KUJAWSKO-POMORSKIE;bydgoski;Dąbrowa Chełmińska;Dąbrowa Chełmińska;Strażacka;2;53.17455;18.30408
Ochotnicza Straż Pożarna Dobrcz;KUJAWSKO-POMORSKIE;bydgoski;Dobrcz;Dobrcz;Ogrodowa;1;53.265773;18.1440601
Ochotnicza Straż Pożarna w Cekcynie;KUJAWSKO-POMORSKIE;tucholski;Cekcyn;Cekcyn;Ogrodowa;17;53.5734253;18.0120161
Ochotnicza Straż Pożarna Gościeradz;KUJAWSKO-POMORSKIE;bydgoski;;Gościeradz;Strażacka;1;53.2615532;17.9202458
Kowalewo Pomorskie OSP KSRG;KUJAWSKO-POMORSKIE;golubsko-dobrzyński;Kowalewo Pomorskie;Kowalewo Pomorskie;Strażacka;2;53.1570869;18.8971911
Ochotnicza Straż Pożarna Koronowo;KUJAWSKO-POMORSKIE;bydgoski;Koronowo;Koronowo;Ogrodowa;59;53.3145497;17.9446927
Ochotnicza Straż Pożarna w Kęsowie;KUJAWSKO-POMORSKIE;tucholski;Kęsowo;Kęsowo;Wyzwolenia;10;53.55603;17.709424
Ochotnicza Straż Pożarna Mąkowarsko;KUJAWSKO-POMORSKIE;bydgoski;Koronowo;Mąkowarsko;Tucholska;29a;53.4056302;17.8110266
Ochotnicza Straż Pożarna Brzoza;KUJAWSKO-POMORSKIE;bydgoski;Nowa Wieś Wielka;Brzoza;Przemysłowa;1b;53.0292506;18.0134775
Ochotnicza Straż Pożarna w Lubiewie;KUJAWSKO-POMORSKIE;tucholski;Lubiewo;Lubiewo;Wojska Polskiego;8;53.4657518;18.0320833
Rybnicki Sztab Ratownictwa;ŚLĄSKIE;Rybnik;Rybnik;Rybnik;Karłowicza;27;50.10482045;18.552853550000002
Ochotnicza Straż Pożarna w Zabrzegu;ŚLĄSKIE;bielski;Czechowice-Dziedzice;Zabrzeg;Tadeusza Gazdy;3;49.9150362;18.94127009464198
Beskidzkie Wodne Ochotnicze Pogotowie Ratunkowe;ŚLĄSKIE;Bielsko-Biała;Bielsko-Biała;Bielsko-Biała;1 Maja;47;49.8156904;19.0453035
Grupa Regionalna GOPR Grupa Jurajska;ŚLĄSKIE;zawierciański;Kroczyce;Podlesice;;;50.5647678;19.534455
Centralna Stacja Ratownictwa Górniczego S.A.;ŚLĄSKIE;Bytom;Bytom;Bytom;;25;50.3657432;18.87153251609449
Grupa Regionalna GOPR Grupa Beskidzka;ŚLĄSKIE;bielski;Szczyrk;Szczyrk;Dębowa;2;49.7088253;19.012181
Ochotnicza Straż Pożarna Chwałowice;ŚLĄSKIE;Rybnik;Rybnik;Rybnik;Józefa Szulika;7;50.06315735;18.550444201557035
OCHOTNICZA STRAŻ POŻARNA RYBNIK-GRABOWNIA;ŚLĄSKIE;Rybnik;Rybnik;Rybnik;Wiktora Poloczka;76 c;50.1399604;18.5256045
Ochotnicza Straż Pożarna w Gołuchowicach;ŚLĄSKIE;będziński;Siewierz;Gołuchowice;;82;49.9453626;19.787026
Ochotnicza Straż Pożarna w Przegędzy;ŚLĄSKIE;rybnicki;Czerwionka-Leszczyny;Przegędza;Szkolna;13;50.1221366;18.631223473893638
"Ochotnicza Straż Pożarna ""Gryf"" w Szczecinie";ZACHODNIOPOMORSKIE;Szczecin;Szczecin;Szczecin;Żytnia;21;53.403662600000004;14.505053436124882
Dolnośląski Oddział Drogowego Ochotniczego Pogotowia Ratunkowego;DOLNOŚLĄSKIE;Wrocław;;Wrocław;Legnicka;65;51.1260932;16.9826042
Fundacja Medic;DOLNOŚLĄSKIE;Wrocław;Wrocław-Stare Miasto;Wrocław;Długa;16B;51.1171289;17.0164501
"Grupa Ratownictwa Medycznego Polskiego Czerwonego Krzyża ""Wrocław""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Śródmieście;Wrocław;Odona Bujwida;34;51.1161904;17.0666207
"Fundacja Wielka Orkiestra Świątecznej Pomocy ""Medyczny Patrol""";MAZOWIECKIE;Warszawa;Mokotów;Warszawa;Dominikańska;19c;52.1760348;21.034670423446492
Ochotnicza Straż Pożarna LAZARUS;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;Wrocław;Orla;16;51.08122735;17.004679462655602
Grupa Ratownictwa Powodziowego w Proboszczowie;DOLNOŚLĄSKIE;złotoryjski;Pielgrzymka;Proboszczów;;112;51.064667400000005;15.793400587061221
Ochotnicza Straż Pożarna w Gwoźnicy Górnej;PODKARPACKIE;strzyżowski;Niebylec;Gwoźnica Górna;;159;49.83755;21.98661
OCHOTNICZA STRAŻ POŻARNA PUSTA WOLA;PODKARPACKIE;jasielski;Skołyszyn;Pusta Wola;;77;49.73366645;21.35131034450201
Ochotnicza Straż Pożarna Rzeszów - Słocina;PODKARPACKIE;Rzeszów;Rzeszów;Rzeszów;Ignacego Paderewskiego;154;50.027835100000004;22.048224039572993
Grupa Ratownictwa Polskiego Czerwonego Krzyża Przemyśl;PODKARPACKIE;Przemyśl;Przemyśl;Przemyśl;Rzeczna;20;49.78353465;22.750578856160136
Ochotnicza Straż Pożarna w Woli Rafałowskiej;PODKARPACKIE;rzeszowski;Chmielnik;Wola Rafałowska;;141;49.990493;22.166027
OCHOTNICZA STRAŻ POŻARNA RZESZÓW-PRZYBYSZÓWKA;PODKARPACKIE;Rzeszów;Rzeszów;Rzeszów;Dębicka;170;50.0534287;21.9461291
OSP Klęczany;PODKARPACKIE;ropczycko-sędziszowski;Sędziszów Małopolski;Klęczany;;112;49.66625225;20.624636799999998
KT SMECZ RATOWNICTWO WODNE SANDOMIERZ GRUPA PATROLOWO INTERWENCYJNA;ŚWIĘTOKRZYSKIE;sandomierski;Sandomierz;Sandomierz;Powiśle;45;50.6713622;21.7741279
Ochotnicza Straż Pożarna w Stańkowej;PODKARPACKIE;bieszczadzki;Ustrzyki Dolne;Stańkowa;;35;49.73536365;20.57601405
Ochotnicza Straż Pożarna Jednostka Ratownictwa Specjalistycznego;DOLNOŚLĄSKIE;Wrocław;Wrocław-Stare Miasto;Wrocław;Wierzbowa;14;51.1054086;17.0364417
Ratownictwo Wodne Rzeczpospolitej Oddział we Wrocławiu;DOLNOŚLĄSKIE;Wrocław;Wrocław-Fabryczna;Wrocław;Legnicka;65;51.1260932;16.9826042
Ochotnicza Straż Pożarna Specjalistyczna Grupa Ratownictwa Medycznego w Kamiennej Górze;DOLNOŚLĄSKIE;kamiennogórski;Kamienna Góra;Kamienna Góra;Władysława Broniewskiego;13;50.782024050000004;16.029702757261074
Fundacja Wodna Służba Ratownicza;DOLNOŚLĄSKIE;Wrocław;Wrocław-Psie Pole;Wrocław;Kleczkowska;50;51.1268217;17.0265779474796
Śląskie Wodne Ochotnicze Pogotowie Ratunkowe;ŚLĄSKIE;Katowice;Katowice;Katowice;Cicha;10;50.2704624;19.01026515873673
Silesia Wodne Ochotnicze Pogotowie Ratunkowe;ŚLĄSKIE;Piekary Śląskie;Piekary Śląskie;Piekary Śląskie;Bytomska;159;50.3834602;18.9437359
Grupa Ratownictwa PCK Zabrze;ŚLĄSKIE;Zabrze;Zabrze;Zabrze;Wyzwolenia;7;50.306383;18.784363949073033
Ochotnicza Straż Pożarna w Książenicach;ŚLĄSKIE;rybnicki;Czerwionka-Leszczyny;Książenice;Klimka;13;50.1624562;18.5828595
Stowarzyszenie Grupa Ratownicza Alfa;POMORSKIE;Gdańsk;Gdańsk;Gdańsk;Ludowa;15;54.38261355;18.578341318558785
Ochotnicza Straż Pożarna Korczyna-Sporne;PODKARPACKIE;krośnieński;Korczyna;Korczyna;Sporne;17;49.72024;21.77151
Grupa Ratownictwa PCK Ostróda;WARMIŃSKO-MAZURSKIE;ostródzki;Ostróda;Ostróda;Jana III Sobieskiego;9;53.694302699999994;19.962026879852345
Augustowskie Wodne Ochotnicze Pogotowie Ratunkowe w Augustowie;PODLASKIE;augustowski;Augustów;Augustów;;15;51.75155;19.5485592
Białostockie Wodne Ochotnicze Pogotowie Ratunkowe;PODLASKIE;Białystok;Białystok;Białystok;Włókiennicza;4;53.13703135;23.15899979713148
Suwalskie Wodne Ochotnicze Pogotowie Ratunkowe;PODLASKIE;Suwałki;Suwałki;Suwałki;Wojska Polskiego;2;54.09241230000001;22.92841007258339
Grupa Ratownicza Stowarzyszenie Ratowniczo-Poszukiwawcze MEDIVAL;PODLASKIE;Białystok;Białystok;Białystok;Generała Józefa Hallera;8;53.15057645;23.123588109010765
Ochotnicza Straż Pożarna w Bełku;ŚLĄSKIE;rybnicki;Czerwionka-Leszczyny;Bełk;Palowicka;7;50.12931095;18.710135000318516
OSP Gotartowice;ŚLĄSKIE;Rybnik;Rybnik;Rybnik;Gotartowicka;21c;50.075484599999996;18.617887484777654
Ochotnicza Straż Pożarna w Wapowcach;PODKARPACKIE;przemyski;Przemyśl;Wapowce;;5a;49.8083162;22.6710206
Grupa Ratownictwa Polskiego Czerwonego Krzyża Bielsko-Biała;ŚLĄSKIE;Bielsko-Biała;Bielsko-Biała;Bielsko-Biała;Sobieskiego;6;49.82108195;19.04043184616951
Fundacja Moto-Medic Motocyklowe Ratownictwo Medyczne;MAZOWIECKIE;Warszawa;;Warszawa;Fasolowa;36;52.2008455;20.9056082306146
Ochotnicza Straż Pożarna w Ładzyniu;MAZOWIECKIE;miński;Stanisławów;Ładzyń;Stanisławowska;12;52.24315865;21.54290884262516
"Fundacja Ochotnicza Grupa Ratownicza ""OGRy""";MAZOWIECKIE;Warszawa;Praga-Południe;Warszawa;Białowieska;17;52.23831785;21.090899937006927
Grupa Ratownictwa Polskiego Czerwonego Krzyża Warszawa;MAZOWIECKIE;Warszawa;Śródmieście;Warszawa;Mokotowska;14;52.22046335;21.018606742429107
Grupa Poszukiwawczo-Ratownicza ANIKAR;MAZOWIECKIE;Warszawa;Mokotów;Warszawa;Racławicka;36;52.1978433;21.01118978231647
Grupa Wsparcia Medycznego Fundacji Wsparcia Ratownictwa RK;MAZOWIECKIE;Warszawa;Mokotów;Warszawa;Bokserska;38;52.16915505;21.00193145
Stowarzyszenie Automobilklub Warszawski;MAZOWIECKIE;Warszawa;Targówek;Warszawa;Litawora;5;52.285607600000006;21.06122153457153
"Harcerska Grupa Ratowniczo-Medyczna ""Piaseczno""";MAZOWIECKIE;piaseczyński;Piaseczno;Piaseczno;Graniczna;9;52.05568;21.01116
Polska Fundacja Zabezpieczenia Społecznego ETOS z siedzibą w Warszawie;MAZOWIECKIE;Warszawa;Śródmieście;Warszawa;Nowy Świat;33;52.2335037;21.019107
Stowarzyszenie Grupa Ratownictwa Drogowego;MAZOWIECKIE;Warszawa;Wesoła;Warszawa;Topolowa;10;52.23007815;21.24461970048747
Ochotnicza Straż Pożarna w Maćkowicach;PODKARPACKIE;przemyski;Żurawica;Maćkowice;;58;49.85462475;22.702302649910905
Ochotnicza  Straż Pożarna w Orłach;PODKARPACKIE;przemyski;Orły;Orły;Floriańska;1;49.8716153;22.8051673
OSP Rzeszów - Budziwój;PODKARPACKIE;Rzeszów;Rzeszów;Rzeszów;Budziwojska;194;49.9666866;21.9799117
Ochotnicza Straż Pożarna w Chwałęcicach;ŚLĄSKIE;Rybnik;Rybnik;Rybnik;Wiosenna;0;50.1366651;18.4803637
Ochotnicza Straż Pożarna w Węglówce;PODKARPACKIE;krośnieński;Korczyna;Węglówka;;103B;49.7771746;21.7766252
Ochotnicza Straż Pożarna Hucisko;PODKARPACKIE;rzeszowski;Głogów Małopolski;Hucisko;;1;49.9197339;20.1350566
Komenda Powiatowa Państwowej Straży Pożarnej;WIELKOPOLSKIE;turecki;Turek;Turek;św. Floriana;2;52.01625895;18.481672595999697
KP PSP Gostyń;WIELKOPOLSKIE;gostyński;Gostyń;Gostyń;Wrocławska;247;51.87342655;17.010733833640124
Komenda Powiatowa Państwowej Straży Pożarnej w Jarocinie;WIELKOPOLSKIE;jarociński;Jarocin;Jarocin;Powstańców Wlkp.;2;51.95636785000001;17.512104409355707
Ochotnicza Straż Pożarna w Pięczkowie;WIELKOPOLSKIE;średzki;Krzykosy;Pięczkowo;Powstańców Wielkopolskich;50;52.11988;17.45148
OCHOTNICZA STRAŻ POŻARNA W DANISZYNIE;WIELKOPOLSKIE;ostrowski;Ostrów Wielkopolski;Daniszyn;;102;51.65516;17.63411
Ochotnicza Straż Pożarna w Brodowie;WIELKOPOLSKIE;średzki;Środa Wielkopolska;Brodowo;Szkolna;1A;52.1883165;17.32024737431733
Ochotnicza Straż Pożarna Dęby Szlacheckie;WIELKOPOLSKIE;kolski;Osiek Mały;Dęby Szlacheckie;;91;52.2934637;18.6058094
Ochotnicza Straż Pożarna w Dąbiu;WIELKOPOLSKIE;kolski;;Dąbie;3 Maja;4;52.0885923;18.8199674
Ochotnicza Straż Pożarna w Krobi;WIELKOPOLSKIE;gostyński;Krobia;Krobia;Ogród Ludowy;1;51.7751633;16.9894793
OSP Jaraczewo;WIELKOPOLSKIE;jarociński;;Jaraczewo;Kolejowa;4;51.967991850000004;17.296355521340146
Ochotnicza Straż Pożarna w Lądku;WIELKOPOLSKIE;słupecki;Lądek;Lądek;Rynek;3;50.3457518;16.871372943169487
Ochotnicza Straż Pożarna w Pakosławiu;WIELKOPOLSKIE;rawicki;Pakosław;Pakosław;Strażacka;11;51.615651;17.060646485
Ochotnicza Straż Pożarna w Lipce;WIELKOPOLSKIE;złotowski;Lipka;Lipka;Strażacka;2;53.49578;17.24791
Ochotnicza Straż Pożarna w Pleszewie;WIELKOPOLSKIE;pleszewski;Pleszew;Pleszew;Ogrodowa;13;51.8926069;17.78488
Ochotnicza Straż Pożarna w Pudliszkach;WIELKOPOLSKIE;gostyński;Krobia;Pudliszki;Fabryczna;50A;51.774833;16.93695599250283
Ochotnicza Straż Pożarna w Babiaku;WIELKOPOLSKIE;kolski;Babiak;Babiak;Wiosny Ludów;3;52.34565945;18.666500062203788
OSP Niechanowo;WIELKOPOLSKIE;gnieźnieński;Niechanowo;Niechanowo;Gnieźnieńska;4;52.4784487;17.5931232
OCHOTNICZA STRAŻ POŻARNA DĄBROWA GÓRNICZA ŚRÓDMIEŚCIE;ŚLĄSKIE;Dąbrowa Górnicza;Dąbrowa Górnicza;Dąbrowa Górnicza;Mickiewicza;6;50.3201001;19.2149546
Grupa Ratownictwa Specjalnego PCK Trójmiasto;POMORSKIE;Gdańsk;Gdańsk;Gdańsk;Kurkowa;8;54.35321735;18.637992581577045
OSP Lubatowa;PODKARPACKIE;krośnieński;Iwonicz-Zdrój;Lubatowa;;287;49.5424273;21.760498249999998
Ochotnicza  Straż Pożarna Szczejkowice27;ŚLĄSKIE;rybnicki;Czerwionka-Leszczyny;Szczejkowice;Rybnicka;7;50.09912695;18.678681844149512
OSP Wojtkówka;PODKARPACKIE;bieszczadzki;Ustrzyki Dolne;Wojtkówka;;11;49.5577906;22.561393012656126
Grupa Ratownictwa Polskiego Czerwonego Krzyża Olsztyn;WARMIŃSKO-MAZURSKIE;Olsztyn;Olsztyn;Olsztyn;Partyzantów;82;53.7815402;20.4831675
Grupa Ratownicza Nadzieja Łomża;PODLASKIE;Łomża;Łomża;Łomża;Zawadzka;55;53.157818500000005;22.075732555469155
Grupa Ratownicza Nadzieja Białystok;PODLASKIE;Łomża;Łomża;Łomża;Zawadzka;55;53.157818500000005;22.075732555469155
Grupa Ratownicza Nadzieja Zambrów;PODLASKIE;Łomża;Łomża;Łomża;Zawadzka;55;53.157818500000005;22.075732555469155
OSP Tylawa;PODKARPACKIE;krośnieński;Dukla;Tylawa;;bz;49.4604069;21.694059
OSP Bełchatów;ŁÓDZKIE;bełchatowski;Bełchatów;Bełchatów;Bawełniana;18;51.3686818;19.3743593
OSP Bełchatów-Grocholice;ŁÓDZKIE;bełchatowski;Bełchatów;Bełchatów;Szkolna;1;51.3369747;19.3746492
OSP Dobrzelów;ŁÓDZKIE;bełchatowski;Bełchatów;Dobrzelów;Dobrzelów;40;51.3881373;19.3845118
OSP Drużbice;ŁÓDZKIE;bełchatowski;Drużbice;Drużbice;Drużbice;27;51.4634243;19.3959029
OSP Huta;ŁÓDZKIE;bełchatowski;Bełchatów;Huta;Huta;14;52.15645;21.56301
OSP Kleszczów;ŁÓDZKIE;bełchatowski;Kleszczów;Kleszczów;Główna;74;51.222581149999996;19.30735456497203
OSP Kluki;ŁÓDZKIE;bełchatowski;Kluki;Kluki;Kluki;83;51.3425238;19.2347038
OSP Kociszew;ŁÓDZKIE;bełchatowski;Zelów;Kociszew;Kociszew;46;51.4906946;19.2961963
OSP Łękińsko;ŁÓDZKIE;bełchatowski;Kleszczów;Łękińsko;Szkolna;2;51.2167843;19.3460864
OSP Łobudzice;ŁÓDZKIE;bełchatowski;Zelów;Łobudzice;Kolonia Łobudzice;17;51.44909175;19.255479386325817
OSP Pożdżenice;ŁÓDZKIE;bełchatowski;Zelów;Pożdżenice;Pożdżenice;140;51.4498819;19.1834144
OSP Rusiec;ŁÓDZKIE;bełchatowski;Rusiec;Rusiec;Koniecpolskiego;5;51.3273495;18.9889603
OSP Szczerców;ŁÓDZKIE;bełchatowski;Szczerców;Szczerców;Piotrkowska;14;51.32958;19.11852
OSP Wadlew;ŁÓDZKIE;bełchatowski;Drużbice;Wadlew;Wadlew;82;51.50676;19.411375
OSP Wola Wiązowa;ŁÓDZKIE;bełchatowski;Rusiec;Wola Wiązowa;Wola Wiązowa;30;51.3253323;18.9107822
OSP Zelów;ŁÓDZKIE;bełchatowski;Zelów;Zelów;Dzielna;6;51.4662187;19.222901855058097
OSP Brzeziny;ŁÓDZKIE;brzeziński;Brzeziny;Brzeziny;Reformacka;9;51.798119850000006;19.753109376712633
OSP Dmosin;ŁÓDZKIE;brzeziński;Dmosin;Dmosin;;10;51.9276429;19.7533594
OSP Jeżów;ŁÓDZKIE;brzeziński;Jeżów;Jeżów;Wojska Polskiego;6a;51.81581;19.9742024
