nazwa;wojewodztwo;powiat;gmina;miejscowosc;ulica;budynek;latitude;longitude
Ochotnicza Straż Pożarna w Żółwinie;MAZOWIECKIE;pruszkowski;Brwinów;Żółwin;Nadarzyńska;25;52.1082436;20.7218469
JRG Namysłów;OPOLSKIE;namysłowski;Namysłów;Namysłów;Plac Powstańców Śląskich;3;51.0775593;17.7205681
OSP Fałkowice;OPOLSKIE;namysłowski;Pokój;Fałkowice;;61;49.9016687;20.1725403
OSP Domaradz;OPOLSKIE;namysłowski;Pokój;Domaradz;;46;50.935037;17.88027356771859
OSP Biestrzykowice;OPOLSKIE;namysłowski;Świerczów;Biestrzykowice;Główna;6;50.9906223;17.754668553974405
OSP Bukowie;OPOLSKIE;namysłowski;Wilków;Bukowie;Lipowa;79;51.15153145;17.588159821726908
OSP Dąbrowa;OPOLSKIE;namysłowski;Świerczów;Dąbrowa;Kolejowa;9;50.6663335;17.816198667805434
OSP Wilków;OPOLSKIE;namysłowski;Wilków;Wilków;Długa;38;51.1086284;17.669508266654113
OSP Pokój;OPOLSKIE;namysłowski;Pokój;Pokój;Wojska Polskiego;26;50.90233445;17.84255697141119
JRG KP PSP w Augustowie;PODLASKIE;augustowski;Augustów;Augustów;Karola Brzostowskiego;2;53.8393452;22.9903978
OSP Gorzów Śląski;OPOLSKIE;oleski;Gorzów Śląski;Gorzów Śląski;Fryderyka Chopina;6;51.024534349999996;18.42101026332989
OSP Szemrowice;OPOLSKIE;oleski;Dobrodzień;Szemrowice;Strażacka;1;50.7527656;18.3885047
JRG Kolno;PODLASKIE;kolneński;Kolno;Kolno;Strażacka;3;53.4081212;21.9335369
OSP KSRG Jedwabne;PODLASKIE;łomżyński;Jedwabne;Jedwabne;Piękna;2;53.28241825;22.30029598307046
OSP KSRG Czerwone;PODLASKIE;kolneński;Kolno;Czerwone;;50;53.4268168;21.888076406385412
OSP KSRG Gać;PODLASKIE;łomżyński;Łomża;Gać;;62;50.516886;20.7364405
JRG Siemiatycze;PODLASKIE;siemiatycki;Siemiatycze;Siemiatycze;11 Listopada;31;52.4252204;22.865132282752544
OSP KSRG Konarzyce;PODLASKIE;łomżyński;Łomża;Konarzyce;Łomżyńska;106;53.1338;22.04101
OSP KSRG Pniewo;PODLASKIE;łomżyński;Łomża;Pniewo;Krótka;20;53.1045175;22.2059806
OSP KSRG Grabowo;PODLASKIE;kolneński;Grabowo;Grabowo;Szkolna;1;53.46667255;22.15421700471907
OSP KSRG Podgórze;PODLASKIE;łomżyński;Łomża;Podgórze;Łomżyńska;30;53.1103376;22.128524
OSP KSRG Miastkowo;PODLASKIE;łomżyński;Miastkowo;Miastkowo;Łomżyńska;25;53.15152725;21.82337905
OSP Słochy Annopolskie;PODLASKIE;siemiatycki;Siemiatycze;Słochy Annopolskie;;39a;52.3927369;22.82961466180522
OSP KSRG Kąty;PODLASKIE;kolneński;Mały Płock;Kąty;;22;51.2921959;18.5153179
OSP KSRG Dryga;PODLASKIE;sokólski;Suchowola;Dryga;;23;53.5164143;23.119562025773085
OSP KSRG Lachowo;PODLASKIE;kolneński;Kolno;Lachowo;;64;53.469932150000005;22.02113956806179
JRG KP PSP w MOŃKACH;PODLASKIE;moniecki;Mońki;Mońki;Adama Mickiewicza;18;53.401664749999995;22.801907265128065
OSP Kajanka;PODLASKIE;siemiatycki;Siemiatycze;Kajanka;;54;52.44773;22.971
OSP KSRG GONIĄDZ;PODLASKIE;moniecki;Goniądz;Goniądz;Stary Rynek;7;53.49070089999999;22.733105592815456
JRG Krapkowice;OPOLSKIE;krapkowicki;Krapkowice;Krapkowice;3 Maja;19;50.4863172;17.9750498
OSP KSRG Leman;PODLASKIE;kolneński;Turośl;Leman;;37A;53.467035;21.6667621
OSP Drohiczyn;PODLASKIE;siemiatycki;Drohiczyn;Drohiczyn;Aleksandra Jagiellończyka;4;52.3989112;22.657817388963856
JRG KP PSP w Sokółce;PODLASKIE;sokólski;Sokółka;Sokółka;Kościuszki;4;53.40456505;23.49707780545217
